binominal,root_order,RD,SRL,references,genus,species,family,order
Ulmus macrocarpa,1.0,-1.503093628335168,4.177724226979262,"<ArrowStringArray>
['Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.']
Length: 1, dtype: str",Ulmus,macrocarpa,Ulmaceae,Rosales
Ulmus pumila,1.0,-1.5314165285674806,4.741008005401787,"<ArrowStringArray>
['Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.', 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 2, dtype: str",Ulmus,pumila,Ulmaceae,Rosales
Vaccinium corymbosum,1.0,-2.9752793675387763,6.73351651788659,"<ArrowStringArray>
['Valenzuela-Estrada LR, Vera-Caraballo V, Ruth LE, Eissenstat DM. 2008. Root anatomy, morphology, and longevity among root orders in Vaccinium corymbosum (Ericaceae). American Journal of Botany 95:1506-1514.']
Length: 1, dtype: str",Vaccinium,corymbosum,Ericaceae,Ericales
Vaccinium mandarinorum,1.0,-2.549509172973659,4.6701148746284735,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Vaccinium,mandarinorum,Ericaceae,Ericales
Veratrum nigrum,1.0,-1.0799868245449447,4.838767172507941,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Veratrum,nigrum,Melanthiaceae,Liliales
Veronica spuria,1.0,-1.67825222843446,5.424579170311993,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Veronica,spuria,Plantaginaceae,Lamiales
Vitis amurensis,1.0,-1.2908023796606698,4.644499902046494,"<ArrowStringArray>
['Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 1, dtype: str",Vitis,amurensis,Vitaceae,Vitales
Vitis vinifera,1.0,-1.920805696404654,-3.0098311979334924,"<ArrowStringArray>
['Lavely EL, Chen W, Peterson KA, Klodd AE, Volder E, Marini RP, Eissenstat D. 2020. On characterizing root function in perennial horticultural crops. American Journal of Botany']
Length: 1, dtype: str",Vitis,vinifera,Vitaceae,Vitales
Wendlandia uvariifolia,1.0,-1.4953505863963323,3.8126445614478675,"<ArrowStringArray>
['Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.']
Length: 1, dtype: str",Wendlandia,uvariifolia,Rubiaceae,Gentianales
Abies alba,,-0.5923972774598022,3.4665688891036184,"<ArrowStringArray>
['Withington JM, Reich PB, Oleksyn J, Eissenstat DM. 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76: 381-397.', 'Liese R, Alings K, Meier IC. 2017. Root branching is a leading root trait of the plant economics spectrum in temperate trees. Frontiers in Plant Science 8:315.']
Length: 2, dtype: str",Abies,alba,Pinaceae,Pinales
Acer campestre,,-0.8651224452997557,3.4330189939851112,"<ArrowStringArray>
['Liese R, Alings K, Meier IC. 2017. Root branching is a leading root trait of the plant economics spectrum in temperate trees. Frontiers in Plant Science 8:315.']
Length: 1, dtype: str",Acer,campestre,Sapindaceae,Sapindales
Achillea millefolium,,-1.501316212543988,5.84927128443819,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285',
                 'Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090',
                                                                                                                                                                                              'Comas - Pasture species',
                                                         'Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 4, dtype: str",Achillea,millefolium,Asteraceae,Asterales
Adinandra millettii,,-0.7985076962177716,5.384495062789089,"<ArrowStringArray>
['Fu X, Wang J, Wang H, Dai X, Yang F, Zhao M. 2016. Response of the fine root production, phenology, and turnover rate of six shrub species from a subtropical forest to a soil moisture gradient and shading. Plant Soil 399: 135-146. ']
Length: 1, dtype: str",Adinandra,millettii,Pentaphylacaceae,Ericales
Afrocarpus falcatus,,-0.2744368457017603,2.4475508632442313,"<ArrowStringArray>
['Assefa D, Godbold DL, Belay B, Abiya A, Rewald B. 2018. Fine root morphology, biochemistry and litter quality indices of fast- and slow-growing woody species in Ethiopian highland forest. Ecosystems 21: 482-494.']
Length: 1, dtype: str",Afrocarpus,falcatus,Podocarpaceae,Pinales
Agastache foeniculum,,-0.8675005677047231,3.6888794541139363,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Agastache,foeniculum,Lamiaceae,Lamiales
Agathis australis,,-0.4628506065533998,2.638282937179391,"<ArrowStringArray>
['Kramer-Walter KR, Bellingham PJ, Millar TR, Smissen RD, Richardson SJ, Laughlin DC. 2016. Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum. Journal of Ecology 104: 1299-1310.']
Length: 1, dtype: str",Agathis,australis,Araucariaceae,Pinales
Agathis kinabaluensis,,-0.2940355464239563,2.4272333975591565,"<ArrowStringArray>
['Ushio M, Fujiki Y, Hidaka A, Kitayama K. 2015. Linkage of root physiology and morphology as an adaptation to soil phosphorus impoverishment in tropical montane forests. Functional Ecology 29: 1235-1245.']
Length: 1, dtype: str",Agathis,kinabaluensis,Araucariaceae,Pinales
Aglaia exstipulata,,-0.08790268317591103,0.6983538030461193,"<ArrowStringArray>
['Makita N, Kosugi Y, Dannoura M, Takanashi S, Niiyama K, Kassim AR, Nik AR. 2012. Patterns of root respiration rates and morphological traits in 13 tree species in a tropical forest. Tree Physiology 32: 303-312.']
Length: 1, dtype: str",Aglaia,exstipulata,Meliaceae,Sapindales
Aglaia odoratissima,,-0.1690697511182067,1.6522278025290842,"<ArrowStringArray>
['Makita N, Kosugi Y, Dannoura M, Takanashi S, Niiyama K, Kassim AR, Nik AR. 2012. Patterns of root respiration rates and morphological traits in 13 tree species in a tropical forest. Tree Physiology 32: 303-312.']
Length: 1, dtype: str",Aglaia,odoratissima,Meliaceae,Sapindales
Agropyron cristatum,,-1.4696759700589417,5.203457085524077,"<ArrowStringArray>
['Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.']
Length: 1, dtype: str",Agropyron,cristatum,Poaceae,Poales
Agrostis capillaris,,-1.6433394641097816,4.928122872521792,"<ArrowStringArray>
['Fort F, Jouany C, Cruz P. 2013.Root and leaf functional trait relations in Poaceae species: implications of differing resource-acquisition strategies. Journal of Plant Ecology 6:211-219', 'Smith SW, Woodin SJ, Pakeman RJ, Johnson D, van der Wal R. 2014. Root traits predict decomposition across a landscape-scale grazing experiment. New Phytologist 203: 851-862.']
Length: 2, dtype: str",Agrostis,capillaris,Poaceae,Poales
Agrostis scabra,,-1.5606477482646683,4.941642422609304,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Agrostis,scabra,Poaceae,Poales
Aira elegantissima,,-1.4784096500276964,6.634436229366123,"<ArrowStringArray>
['Mokany K, Ash J. 2008. Are traits measured on pot grown plants representative of those in natural communities? Journal of Vegetation Science 19: 119-126.']
Length: 1, dtype: str",Aira,elegantissima,Poaceae,Poales
Alchemilla alpina,,-0.9834994815676051,3.8146306594194965,"<ArrowStringArray>
['Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 1, dtype: str",Alchemilla,alpina,Rosaceae,Rosales
Alectryon excelsus,,-0.7658791767260443,3.6063919629954304,"<ArrowStringArray>
['Kramer-Walter KR, Bellingham PJ, Millar TR, Smissen RD, Richardson SJ, Laughlin DC. 2016. Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum. Journal of Ecology 104: 1299-1310.']
Length: 1, dtype: str",Alectryon,excelsus,Sapindaceae,Sapindales
Aleurites moluccana,,-0.05129329438755058,2.0980179272527715,"<ArrowStringArray>
['Rajab YA, Holscher D, Leuschner C, Barus H, Tjoa A, Hertel D. 2018. Effects of shade tree cover and diversity on root system structure and dynamics in cacao agroforests: The role of root competition and space partitioning. Plant Soil 422: 349-369.']
Length: 1, dtype: str",Aleurites,moluccana,Euphorbiaceae,Malpighiales
Alliaria petiolata,,-1.7885645783315358,6.239676908885172,"<ArrowStringArray>
['Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090']
Length: 1, dtype: str",Alliaria,petiolata,Brassicaceae,Brassicales
Allium bidentatum,,-0.6931471805599453,3.362629788512897,"<ArrowStringArray>
['Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.']
Length: 1, dtype: str",Allium,bidentatum,Amaryllidaceae,Asparagales
Allium tenuissimum,,-0.916290731874155,3.887935209899056,"<ArrowStringArray>
['Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.']
Length: 1, dtype: str",Allium,tenuissimum,Amaryllidaceae,Asparagales
Allium textile,,-1.168659288052703,5.23566960080539,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Allium,textile,Amaryllidaceae,Asparagales
Allophylus abyssinicus,,-0.5978370007556204,2.3561258599220753,"<ArrowStringArray>
['Assefa D, Godbold DL, Belay B, Abiya A, Rewald B. 2018. Fine root morphology, biochemistry and litter quality indices of fast- and slow-growing woody species in Ethiopian highland forest. Ecosystems 21: 482-494.']
Length: 1, dtype: str",Allophylus,abyssinicus,Sapindaceae,Sapindales
Alnus glutinosa,,-0.9526305986530476,3.2857469622150157,"<ArrowStringArray>
['de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.']
Length: 1, dtype: str",Alnus,glutinosa,Betulaceae,Fagales
Alopecurus pratensis,,-1.5141277326297755,5.4785534168509695,"<ArrowStringArray>
['Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 1, dtype: str",Alopecurus,pratensis,Poaceae,Poales
Alseis blackiana,,-0.4266678815496418,2.549350172624313,"<ArrowStringArray>
['Collins CG, Wright SJ, Wurzburger N. 2016. Root and leaf traits reflect distinct resource acquisition strategies in tropical lianas and trees. Oecologia 180: 1037-1047.']
Length: 1, dtype: str",Alseis,blackiana,Rubiaceae,Gentianales
Alternanthera sessilis,,-1.2310014767138553,3.82929335782915,"<ArrowStringArray>
['Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 1, dtype: str",Alternanthera,sessilis,Amaranthaceae,Caryophyllales
Ambrosia artemisiifolia,,-1.0216512475319814,4.859812404361672,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Ambrosia,artemisiifolia,Asteraceae,Asterales
Amelanchier alnifolia,,-0.9779888454580034,3.038581000863127,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Amelanchier,alnifolia,Rosaceae,Rosales
Anaxagorea javanica,,-0.2086860662252831,1.8703129747441396,"<ArrowStringArray>
['Makita N, Kosugi Y, Dannoura M, Takanashi S, Niiyama K, Kassim AR, Nik AR. 2012. Patterns of root respiration rates and morphological traits in 13 tree species in a tropical forest. Tree Physiology 32: 303-312.']
Length: 1, dtype: str",Anaxagorea,javanica,Annonaceae,Magnoliales
Andropogon gerardii,,-1.171182981502945,4.02535169073515,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Andropogon,gerardii,Poaceae,Poales
Androsace occidentalis,,-2.163941784752468,5.334918413389103,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Androsace,occidentalis,Primulaceae,Ericales
Anemone cylindrica,,-1.0216512475319814,3.9512437185814275,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Anemone,cylindrica,Ranunculaceae,Ranunculales
Anemone patens,,-0.9946577609482603,3.501256317347026,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Anemone,patens,Ranunculaceae,Ranunculales
Antennaria neglecta,,-1.2911660160283132,4.826183259044324,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Antennaria,neglecta,Asteraceae,Asterales
Antennaria parvifolia,,-1.0511086660241429,3.805296934268106,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Antennaria,parvifolia,Asteraceae,Asterales
Anthoxanthum odoratum,,-1.5050778971098577,5.298242363735396,"<ArrowStringArray>
['Smith SW, Woodin SJ, Pakeman RJ, Johnson D, van der Wal R. 2014. Root traits predict decomposition across a landscape-scale grazing experiment. New Phytologist 203: 851-862.', 'Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 2, dtype: str",Anthoxanthum,odoratum,Poaceae,Poales
Anthyllis cytisoides,,-1.250627749698357,2.2408114559060697,"<ArrowStringArray>
['de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.']
Length: 1, dtype: str",Anthyllis,cytisoides,Fabaceae,Fabales
Anthyllis terniflora,,-1.0109448769163498,1.7962250888235667,"<ArrowStringArray>
['de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.']
Length: 1, dtype: str",Anthyllis,terniflora,Fabaceae,Fabales
Apodytes dimidiata,,-0.5978370007556204,2.5572273113676265,"<ArrowStringArray>
['Assefa D, Godbold DL, Belay B, Abiya A, Rewald B. 2018. Fine root morphology, biochemistry and litter quality indices of fast- and slow-growing woody species in Ethiopian highland forest. Ecosystems 21: 482-494.']
Length: 1, dtype: str",Apodytes,dimidiata,Icacinaceae,Icacinales
Aporosa subcaudata,,-0.6995677483628681,2.4220089311308337,"<ArrowStringArray>
['Makita N, Kosugi Y, Dannoura M, Takanashi S, Niiyama K, Kassim AR, Nik AR. 2012. Patterns of root respiration rates and morphological traits in 13 tree species in a tropical forest. Tree Physiology 32: 303-312.']
Length: 1, dtype: str",Aporosa,subcaudata,Phyllanthaceae,Malpighiales
Aquilegia vulgaris,,-1.7338679908122774,6.126973886492961,"<ArrowStringArray>
['Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090']
Length: 1, dtype: str",Aquilegia,vulgaris,Ranunculaceae,Ranunculales
Arbutus unedo,,-0.6933805417865585,2.4945979586490235,"<ArrowStringArray>
['de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.']
Length: 1, dtype: str",Arbutus,unedo,Ericaceae,Ericales
Arctotheca calendula,,-1.4392780258348463,5.49875783799931,"<ArrowStringArray>
['Hill JO, Simpson RJ, Moore AD, Chapman DF. 2006. Morphology and response of roots of pasture species to phosphorus and nitrogen nutrition. Plant and Soil 286: 7-19.']
Length: 1, dtype: str",Arctotheca,calendula,Asteraceae,Asterales
Arenaria serpyllifolia,,-1.4208858058895097,6.441751639101684,"<ArrowStringArray>
['Birouste M, Kazakou E, Blanchard A, Roumet C. 2012. Plant traits and decomposition: are the relationships for roots comparable to those for leaves? Annals of Botany 109: 463-472. ', 'Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 2, dtype: str",Arenaria,serpyllifolia,Caryophyllaceae,Caryophyllales
Aristida ramosa,,-0.804078741267227,4.383899879055562,"<ArrowStringArray>
['Mokany K, Ash J. 2008. Are traits measured on pot grown plants representative of those in natural communities? Journal of Vegetation Science 19: 119-126.']
Length: 1, dtype: str",Aristida,ramosa,Poaceae,Poales
Aristotelia serrata,,-1.0205407532479542,4.317114146402651,"<ArrowStringArray>
['Holdaway RJ, Richardson SJ, Dickie IA, Peltzer DA, Coomes DA. 2011. Species- and community-level patterns in fine root traits along a 120 000-year soil chronosequence in temperate rain forest. Journal of Ecology 99: 954-963.', 'Kramer-Walter KR, Bellingham PJ, Millar TR, Smissen RD, Richardson SJ, Laughlin DC. 2016. Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum. Journal of Ecology 104: 1299-1310.']
Length: 2, dtype: str",Aristotelia,serrata,Elaeocarpaceae,Oxalidales
Armeria velutina,,-0.676437566996998,2.3518964032480256,"<ArrowStringArray>
['de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.']
Length: 1, dtype: str",Armeria,velutina,Plumbaginaceae,Caryophyllales
Arnica fulgens,,-0.6627149734397434,2.7651715000311867,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Arnica,fulgens,Asteraceae,Asterales
Arnica sororia,,-1.4134600291926602,4.3422566039633335,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Arnica,sororia,Asteraceae,Asterales
Arrhenatherum elatius,,-1.4740332754278973,5.193123503669531,"<ArrowStringArray>
['Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 1, dtype: str",Arrhenatherum,elatius,Poaceae,Poales
Artemisia barrelieri,,-0.8560191135325868,1.6239199287813029,"<ArrowStringArray>
['de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.']
Length: 1, dtype: str",Artemisia,barrelieri,Asteraceae,Asterales
Artemisia cana,,-1.171182981502945,4.023913586086754,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Artemisia,cana,Asteraceae,Asterales
Artemisia codonocephala,,-0.5568695622673976,2.506341930508065,"<ArrowStringArray>
['Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 1, dtype: str",Artemisia,codonocephala,Asteraceae,Asterales
Artemisia frigida,,-1.1719503009068022,4.163993645323009,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.', 'Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.']
Length: 2, dtype: str",Artemisia,frigida,Asteraceae,Asterales
Artemisia ludoviciana,,-1.0911119159188427,4.435120834310792,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285', 'Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 2, dtype: str",Artemisia,ludoviciana,Asteraceae,Asterales
Arthraxon hispidus,,-0.5141645250315053,2.569554123848285,"<ArrowStringArray>
['Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 1, dtype: str",Arthraxon,hispidus,Poaceae,Poales
Ascarina lucida,,-0.6348782724359695,3.100092288878234,"<ArrowStringArray>
['Holdaway RJ, Richardson SJ, Dickie IA, Peltzer DA, Coomes DA. 2011. Species- and community-level patterns in fine root traits along a 120 000-year soil chronosequence in temperate rain forest. Journal of Ecology 99: 954-963.']
Length: 1, dtype: str",Ascarina,lucida,Chloranthaceae,Chloranthales
Asclepias incarnata,,-1.0216512475319814,4.248495242049359,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Asclepias,incarnata,Apocynaceae,Gentianales
Asclepias syriaca,,-0.843970070294529,3.871201010907891,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Asclepias,syriaca,Apocynaceae,Gentianales
Asclepias tuberosa,,-0.6931471805599453,3.1354942159291497,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Asclepias,tuberosa,Apocynaceae,Gentianales
Asplenium bulbiferum,,-0.843970070294529,3.459466289786131,"<ArrowStringArray>
['Holdaway RJ, Richardson SJ, Dickie IA, Peltzer DA, Coomes DA. 2011. Species- and community-level patterns in fine root traits along a 120 000-year soil chronosequence in temperate rain forest. Journal of Ecology 99: 954-963.']
Length: 1, dtype: str",Asplenium,bulbiferum,Aspleniaceae,Polypodiales
Astelia fragrans,,-0.06187540371808753,2.5572273113676265,"<ArrowStringArray>
['Holdaway RJ, Richardson SJ, Dickie IA, Peltzer DA, Coomes DA. 2011. Species- and community-level patterns in fine root traits along a 120 000-year soil chronosequence in temperate rain forest. Journal of Ecology 99: 954-963.']
Length: 1, dtype: str",Astelia,fragrans,Asteliaceae,Asparagales
Astelia nervosa,,-0.05129329438755058,2.6741486494265287,"<ArrowStringArray>
['Holdaway RJ, Richardson SJ, Dickie IA, Peltzer DA, Coomes DA. 2011. Species- and community-level patterns in fine root traits along a 120 000-year soil chronosequence in temperate rain forest. Journal of Ecology 99: 954-963.']
Length: 1, dtype: str",Astelia,nervosa,Asteliaceae,Asparagales
Aster laevis,,-1.0552654841647438,3.527019276121148,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Aster,laevis,Asteraceae,Asterales
Aster lanceolatus,,-1.0216512475319814,4.219507705176107,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Aster,lanceolatus,Asteraceae,Asterales
Astragalus aboriginum,,-1.5329399414613754,3.7607826164598617,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Astragalus,aboriginum,Fabaceae,Fabales
Astragalus agrestis,,-0.9450760833059084,3.0361683041597565,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Astragalus,agrestis,Fabaceae,Fabales
Astragalus bisulcatus,,-1.0367648853420295,4.505276183130613,"<ArrowStringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 1, dtype: str",Astragalus,bisulcatus,Fabaceae,Fabales
Astragalus canadensis,,-0.8675005677047231,3.5263605246161616,"<ArrowStringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285']
Length: 1, dtype: str",Astragalus,canadensis,Fabaceae,Fabales
