original_reference,original_ref_checked,non_original_reference,habitat_naturality,biome,species,mycorrhiza type,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,consensus_mycorrhizal_state
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate coniferous forest biome,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate coniferous forest biome,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate coniferous forest biome,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,botanical garden,,Sorbus aucuparia,AM; others not addressed,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Sorbus aucuparia,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Sorbus aucuparia,AM; no others,,,,,,,,,AM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: subpolar coniferous forest biome,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Akhmetzhanova, A. A., Soudzilovskaia, N. A., Onipchenko, V. G., Cornwell, W. K., Agafonov, V. A., Selivanov, I. A., & Cornelissen, J. H. (2012). A rediscovered treasure: mycorrhizal intensity database for 3000 vascular plant species across the former Soviet Union. Ecology, 93(3), 689-690.",,,natural,forest: temperate broadleaf forest biome,Tilia mandshurica,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Boullard, B., & Dominik, T. (1960). Recherches comparatives entre le mycotrophisme de Fagetum carpaticum de Babia Gora et celui d'austres fageta precedement etudies. Zesz. nauk. wyzsz. Szk. roln. Szczec. 3, 3, 20.",,,,,Acer pseudoplatanus,AM; no others,,Leho Tedersoo,in this study 22% reports conflict with predictions,,,,,,AM
"Boullard, B., & Dominik, T. (1960). Recherches comparatives entre le mycotrophisme de Fagetum carpaticum de Babia Gora et celui d'austres fageta precedement etudies. Zesz. nauk. wyzsz. Szk. roln. Szczec. 3, 3, 20.",,,,,Sorbus aucuparia,AM; no others,,Leho Tedersoo,in this study 22% reports conflict with predictions,,,,,,AM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Acer saccharum,AM; no others,,,,,,,,,AM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Acer saccharum,AM; no others,,,,,,,,,AM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Adiantum pedatum,AM; no others,,,,,,,,,AM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Fraxinus americana,AM; no others,,,,,,,,,AM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Juglans nigra,AM; no others,,,,,,,,,AM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Pinus strobus,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Brundrett, M. C., & Kendrick, B. (1988). The mycorrhizal status, root anatomy, and phenology of plants in a sugar maple forest. Canadian Journal of Botany,66(6), 1153-1173.",,,natural,,Ulmus americana,AM; no others,,,,,,,,,AM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Acer rubrum,AM; no others,,,,,,,,,AM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Acer saccharum,AM; no others,,,,,,,,,AM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Fraxinus americana,AM; no others,,,,,,,,,AM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Juglans nigra,AM; no others,,,,,,,,,AM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Pinus strobus,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Populus tremuloides,EcM; no others,,,,,,Laura M. Suz,ok,,EcM-AM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Quercus alba,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Quercus rubra,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Brundrett, M., Murase, G., & Kendrick, B. (1990). Comparative anatomy of roots and mycorrhizae of common Ontario trees. Canadian Journal of Botany,68(3), 551-578.",,,natural,,Ulmus americana,AM; no others,,,,,,,,,AM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Eriobotrya japonica,AM; others not addressed,,,,,,,,,AM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Cornus officinalis,AM; others not addressed,,,,,,,,,AM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Castanea henryi,"EcM,AM",,Leho Tedersoo,AM unimportant in adults,,,Laura M. Suz,ok,,EcM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Quercus variabilis,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Quercus aliena,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Juglans mandshurica,"EcM,AM",,Leho Tedersoo,incorrect report for EcM (this genus is AM),Mark Brundrett,incorrect report for EcM,Laura M. Suz,not ECM,,AM
"Chen Hui, Tang Ming, Guo Yuan. (1996).Investigation on Mycorrhizae of Trees in Mountain Areas of Shouthern Shanxi.Journal of Northwest Forestry College, 11(1):99-103.",,,natural,forest: temperate broadleaf forest biome,Pistacia chinensis,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Celtis sinensis,EcM; others not addressed,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",Mark Brundrett,incorrect report for EcM,Laura M. Suz,do not know,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Ginkgo biloba,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Cunninghamia lanceolata,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Liriodendron chinense,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Liriodendron tulipifera,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Magnolia denudata,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Magnolia grandiflora,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Cinnamomum camphora,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Litsea cubeba,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Pyrus betulifolia,AM; others not addressed,,,,,,,,,AM
"Chen Xiangxin, Chen Lianqing. (1983).Investigation on mycorrhiza of main subtropical tree species in China. Forest Science and Technology,5:8-12. ",,,natural,forest: tropical broadleaf forest biome,Canarium album,AM; others not addressed,,,,,,,,,AM
"Cooke, J. C., & Lefor, M. W. (1998). The mycorrhizal status of selected plant species from Connecticut wetlands and transition zones. Restoration Ecology, 6(2), 214-222.",,,natural,grassland: flooded grassland biome,Acer rubrum,AM; others not addressed,,,,,,,,,AM
"Cooke, J. C., & Lefor, M. W. (1998). The mycorrhizal status of selected plant species from Connecticut wetlands and transition zones. Restoration Ecology, 6(2), 214-222.",,,natural,grassland: flooded grassland biome,Onoclea sensibilis,AM; others not addressed,,,,,,,,,AM
"Cooke, J. C., & Lefor, M. W. (1998). The mycorrhizal status of selected plant species from Connecticut wetlands and transition zones. Restoration Ecology, 6(2), 214-222.",,,natural,grassland: flooded grassland biome,Populus deltoides,AM; others not addressed,,Leho Tedersoo,misleading report from EcM perspective (this genus is EcM-AM),,,,,,EcM-AM
"Cooke, M. A., Widden, P., & O'Halloran, I. (1992). Morphology, incidence and fertilization effects on the vesicular-arbuscular mycorrhizae of Acer saccharum in a Quebec hardwood forest. Mycologia, 422-430.",,,,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"Davison, J., Moora, M., Öpik, M., Adholeya, A., Ainsaar, L., Bâ, A., ... & Johnson, N. C. (2015). Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism. Science, 349(6251), 970-973.",,,natural,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"Davison, J., Moora, M., Öpik, M., Adholeya, A., Ainsaar, L., Bâ, A., ... & Johnson, N. C. (2015). Global assessment of arbuscular mycorrhizal fungus diversity reveals very low endemism. Science, 349(6251), 970-973.",,,natural,,Dicranopteris linearis,AM; others not addressed,,,,,,,,,AM
"Dhillion, S. S., & Friese, C. F. (1994). The occurrence of mycorrhizas in prairies: application to ecological restoration. In The Proceedings of the 13th North American Prairie Conference, The University of Windsor (Canada) (pp. 103-114).",,,,,Onoclea sensibilis,AM; no others,,,,,,,,,AM
"Dominik, T. (1951). Badanie mykotrofizmu roślinności wydm nadmorskich i śródlądowych. Acta Soc Bot Pol, 21, 125-164.",,,,,Populus tremula,EcM; no others,,Leho Tedersoo,in this study 39% reports conflict with predictions,,,Laura M. Suz,ok,,EcM-AM
"Dominik, T. (1951). Badanie mykotrofizmu roślinności wydm nadmorskich i śródlądowych. Acta Soc Bot Pol, 21, 125-164.",,,,,Populus tremula,EcM; no others,,Leho Tedersoo,in this study 39% reports conflict with predictions,,,Laura M. Suz,ok,,EcM-AM
"Dominik, T. (1951). Badanie mykotrofizmu roślinności wydm nadmorskich i śródlądowych. Acta Soc Bot Pol, 21, 125-164.",,,,,Populus tremula,EcM; no others,,Leho Tedersoo,in this study 39% reports conflict with predictions,,,Laura M. Suz,ok,,EcM-AM
"Dominik, T. (1951). Badanie mykotrofizmu roślinności wydm nadmorskich i śródlądowych. Acta Soc Bot Pol, 21, 125-164.",,,,,Sorbus aucuparia,EcM; no others,,Leho Tedersoo,incorrect report (this genus is AM; in this study 39% reports conflict with predictions),Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,AM
"Eriksen, M. (2009). Arbuscular mycorrhiza in plant species from marginal agricultural areas in Norway and Thailand. Norwegian University of Life Sciences, Department of Ecology and Natural Resource Management.",,,,other,Sterculia lanceolata,AM; no others,,,,,,,,,AM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Schima wallichii,AM; others not addressed,,,,,,,,,AM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Castanopsis hystrix,AM; others not addressed,,Leho Tedersoo,"incorrect report (this genus is EcM, most reports of this species are EcM)",,,,,,EcM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Cratoxylum cochinchinense,AM; others not addressed,,,,,,,,,AM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Aporosa yunnanensis,AM; others not addressed,,,,,,,,,AM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Olea rosea,AM; others not addressed,,,,,,,,,AM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Millettia leptobotrya,AM; others not addressed,,,,,,,,,AM
"Fang Hui, P .N .Damodaran, Cao Min. (2006).Arbuscular mycorrhizal status of Glomus plants in tropical secondary forest of Xishuangbanna , Southwest China.ACTA ECOLOGICA SINICA, 26(12): 4179- 4185.",,,natural,forest: tropical broadleaf forest biome,Ocotea lancifolia,AM; others not addressed,,,,,,,,,AM
"Frank, B. (1885). Ueber die auf Wurzelsymbiose beruhende Ernahrung gewisser Baume durch unterirdische Pilze. Ber. dt. Bot. Ges.(3), 128-45.",,,,,Acer pseudoplatanus,non-EcM; others not addressed,,Leho Tedersoo,misleading report from AM perspective (this genus is AM; in this study 22% reports conflict with predictions),,,,,,AM
"Frank, B. (1885). Ueber die auf Wurzelsymbiose beruhende Ernahrung gewisser Baume durch unterirdische Pilze. Ber. dt. Bot. Ges.(3), 128-45.",,,,,Carpinus betulus,EcM; others not addressed,,Leho Tedersoo,in this study 22% reports conflict with predictions,,,Laura M. Suz,ok,,EcM
"Frank, B. (1885). Ueber die auf Wurzelsymbiose beruhende Ernahrung gewisser Baume durch unterirdische Pilze. Ber. dt. Bot. Ges.(3), 128-45.",,,,,Quercus rubra,EcM; others not addressed,,Leho Tedersoo,in this study 22% reports conflict with predictions,,,Laura M. Suz,ok,,EcM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Alstonia scholaris,AM; no others,,,,,,,,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Barringtonia racemosa,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Castanopsis hystrix,EcM; no others,,,,,,Laura M. Suz,do not know,,EcM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Cinnamomum camphora,non-mycorrhizal (checked for all types),,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Cunninghamia lanceolata,AM; no others,,,,,,,,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Elaeocarpus sylvestris,EcM; no others,,Leho Tedersoo,incorrect report (this genus is AM),,,Laura M. Suz,do not know,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Gordonia axillaris,AM; no others,,,,,,,,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Litsea cubeba,AM; no others,,,,,,,,,AM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Pinus armandii,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Quercus variabilis,EcM; no others,,,,,,Laura M. Suz,ok,,EcM
"Haug, I., Weber, R., Oberwinkler, F., & Tschen, J. (1994). The mycorrhizal status of Taiwanese trees and the description of some ectomycorrhizal types. Trees, 8(5), 237-253.",,,,,Wendlandia uvariifolia,AM; no others,,,,,,,,,AM
"Huang Jiuxiang, Zhuang Xueying. (2000).Mycorrhizas of Three Species of China's Protected Plants at Chebaling's Nursery.Journal of South China Agricultural University,21(2):38-41.

",,,nursery,,Magnolia odora,AM; others not addressed,,,,,,,,,AM
"Hutchinson, T. C., Watmough, S. A., Sager, E. P., & Karagatzides, J. D. (1999). The Impact of Simulated Acid Rain and Fertilizer Application on a Mature Sugar Maple (Acer Saccharum Marsh.) Forstt in Central Ontario Canada. Water, Air, and Soil Pollution, 109(1-4), 17-39.",,,,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"Khade, W. S. (2002). Arbuscular mycorrhizal status of medicinal plants: a field survey of AM fungal association in shrubs and trees. Journal of Economic and Taxonomic Botany, 26(3), 571-578.",,,,,Alstonia scholaris,AM; no others,,,,,,,,,AM
"Lang, C., Seven, J., & Polle, A. (2011). Host preferences and differential contributions of deciduous tree species shape mycorrhizal species richness in a mixed Central European forest. Mycorrhiza, 21(4), 297-308.",,,,,Carpinus betulus,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Lang, C., Seven, J., & Polle, A. (2011). Host preferences and differential contributions of deciduous tree species shape mycorrhizal species richness in a mixed Central European forest. Mycorrhiza, 21(4), 297-308.",,,,,Tilia cordata,EcM; others not addressed,,,,,,Laura M. Suz,ok,,EcM
"Lawrence, B., Fisk, M. C., Fahey, T. J., & Suárez, E. R. (2003). Influence of nonnative earthworms on mycorrhizal colonization of sugar maple (Acer saccharum). New Phytologist, 157(1), 145-153.",,,,,Acer saccharum,AM; others not addressed,,,,,,,,,AM
"LI Jin，JING Yuebo，ZHANG Jinfeng，LI Yongpeng，LI Rongbo. (2012).Arbuscular Mycorrhiza across Two Vegetation Types in Shangri-la Subalpine Areas of Northwest Yunnan.Journal of West China Forestry Science,41(2):43-50.",,,early successional,forest: temperate broadleaf forest biome,Populus tremula,AM; others not addressed,,Leho Tedersoo,misleading report from EcM perspective (this genus is EcM-AM),,,,,,EcM-AM
"Liang Changcong, Zhao Suye,Liu Lei, Huang Junsheng.(2010).Arbuscular mycorrhizal fungi associated with common tree species in a tropical rainforest in Bawangling of Hainan Island, China..Chinese Journal of Ecology, 29(2):269-273.",,,natural,forest: tropical broadleaf forest biome,Canarium album,AM; others not addressed,,,,,,,,,AM
