binominal,photosyntheticPathway,references,referencesDataset
Acer rubrum,C3,Canham et al. 1996 . Can. J. For. Res. 26: 1521-1530,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer saccharum,C3,Canham et al. 1996 . Can. J. For. Res. 26: 1521-1530,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Pinus strobus,C3,Canham et al. 1996 . Can. J. For. Res. 26: 1521-1530,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liriodendron tulipifera,C3,Chappelka et al. 1985 . Env. Exp. Bot. 25: 233-244,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer pseudoplatanus,C3,Cornelissen et al. 1999 . New Phytol. 141: 401-409,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Fraxinus excelsior,C3,Cornelissen et al. 1999 . New Phytol. 141: 401-409,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liquidambar styraciflua,C3,Fang et al. 1996 . Tree Physiol. 16: 441-446,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer rubrum,C3,Fownes & Harrington 2004 . For. Ecol. Manage. 203: 297-310,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Pinus strobus,C3,Fownes & Harrington 2004 . For. Ecol. Manage. 203: 297-310,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Fownes & Harrington 2004 . For. Ecol. Manage. 203: 297-310,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremula,C3,Glynn et al. 2003 . Oikos 101: 385-397,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Pterospermum acerifolium,C3,Gong et al. 2016 . Trop. Ecol. 57: 727-737,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Goudriaan & De Ruiter 1983 . Neth. J. Agric. Sci. 31: 157-169,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Carpinus betulus,C3,Hattenschwiler & Korner 2003 . Funct. Ecol. 17: 778-785,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Fraxinus excelsior,C3,Hattenschwiler & Korner 2003 . Funct. Ecol. 17: 778-785,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Hemming & Lindroth 1999 . J. Chem. Ecol. 25: 1687-1714,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liriodendron tulipifera,C3,Holmgren 2000 . Oikos 90: 67-78,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Karnosky et al. 1996 . Can. J. For. Res. 26: 23-37,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer pseudoplatanus,C3,Khalil & Grace 1992 . J. Exp. Bot. 43: 1591-1602,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Kleiner et al. 1992 . Tree Physiol. 11: 271-287,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer saccharum,C3,Lindroth 1993 . Ecology 74: 763-777,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Lindroth 1993 . Ecology 74: 763-777,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Lindroth 1993 . Ecology 74: 763-777,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer rubrum,C3,McConnaughay et al. 1996 . Ecol. Appl. 6: 619-627,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Nyssa aquatica,C3,McLeod et al. 1986 . Tree Physiol. 2: 341-346,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer rubrum,C3,Miao et al. 1992 . Oecologia 90: 300-304,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer rubrum,C3,Nash & Graves 1993 . J. Am. Soc. Hortic. Sci. 118: 845-850,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Magnolia virginiana,C3,Nash & Graves 1993 . J. Am. Soc. Hortic. Sci. 118: 845-850,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Nyssa sylvatica,C3,Nash & Graves 1993 . J. Am. Soc. Hortic. Sci. 118: 845-850,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Ulmus americana,C3,Newsome et al. 1982 . Can. J. Bot. 60: 1688-1695,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremula,C3,Nikula et al. 2009 . Boreal Environ. Res. 14: 29-47,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liriodendron tulipifera,C3,Norby & O'Neill 1991 . New Phytol. 117: 515-528,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus alba,C3,Norby et al. 1986 . Plant Physiol. 82: 83-89,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liriodendron tulipifera,C3,O'Neill et al. 1987a . Plant Soil 104: 3-11,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus alba,C3,O'Neill et al. 1987b . Can. J. For. Res. 17: 878-883,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Gleditsia triacanthos,C3,Polley et al. 2002 . Tree Physiol. 22: 383-391,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer platanoides,C3,Portsmuth & Niinemets 2007 . Funct. Ecol. 21: 61-77,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremula,C3,Portsmuth & Niinemets 2007 . Funct. Ecol. 21: 61-77,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremula,C3,Possen et al. 2011 . For. Ecol. Manage. 262: 1387-1399,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus trichocarpa,C3,Radoglou & Jarvis 1990 . Ann. Bot. 65: 617-627,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer platanoides,C3,Reinhart et al. 2006 . Ecol. Appl. 16: 1821-1831,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Tilia cordata,C3,Sack 2004 . Oikos 107: 110-127,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Samuelson 1994 . New Phytol. 128: 235-241,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Samuelson et al. 1996 . Environ. Poll. 91: 317-323,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Pinus armandii,C3,Shan et al. 1995 . Wat. Air Soil Poll. 85: 1399-1404,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus trichocarpa,C3,Sigurdsson et al. 2001 . Tree Physiol. 21: 941-950,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer pseudoplatanus,C3,Simon et al. 2014 . Tree Physiol. 34: 49-60,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liquidambar styraciflua,C3,Sionit et al. 1985 . Can. J. For. Res. 15: 468-471,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Pinus strobus,C3,Sullivan & Teramura 1988 . Am. J. Bot. 75: 225-230,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Platanus occidentalis,C3,Tang & Kozlowski 1982a . Plant Soil 66: 243-255,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liriodendron tulipifera,C3,Tjoelker & Luxmoore 1991 . New Phytol. 119: 69-81,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer saccharum,C3,Tjoelker et al. 1993 . New Phytol. 124: 627-636,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Tjoelker et al. 1998 . New Phytol. 140: 197-210,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Liquidambar styraciflua,C3,Tolley & Strain 1984 . Can. J. For. Res. 14: 343-350,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Truax et al. 1994 . Trees 9: 12-18,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Volin & Reich 1996 . Physiol. Plant. 97: 674-684,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Volin et al. 1998 . New Phytol. 138: 315-325,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Quercus rubra,C3,Volin et al. 1998 . New Phytol. 138: 315-325,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acer saccharum,C3,Volin et al. 2002 . Tree Physiol. 22: 435-448,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Volin et al. 2002 . Tree Physiol. 22: 435-448,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Ulmus americana,C3,Walters & Reich 1989 . Tree Physiol. 5: 159-172,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Way et al. 2013 . Plant Cell Environ. 36: 103-115,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus cathayana,C3,Xu et al. 2010 . Tree Physiol. 30: 1489-1498,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Populus tremuloides,C3,Zak et al. 2000 . Ecol. Appl. 10: 34-46,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Acacia mangium,C3,Ziska et al. 1991 . Oecologia 86: 383-389,"Poorter H, Niinemets Ü, Walter A, Fiorani F, Schurr U. 2010. A method to construct dose-response curves for a wide range of environmental factors and plant traits by means of a meta-analysis of phenotypic data. Journal of Experimental Botany. 61 (8):2043 - 2055"
Cystopteris sudetica,C3,"Klimeová J. & Klime L. Clo-Pla3  database of clonal growth of plants from Central Europe. http://clopla.butbn.cas.cz/; Klimeová J. & de Bello F. 2009. CLO-PLA: the database of clonal and bud bank traits of Central European flora. Journal of Vegetation Science 20: 511-516; Klimeová J, Danihelka J, Chrtek J, de Bello F, Herben T. 2017. CLO-PLA: a database of clonal and bud bank traits of Central European flora. Ecology 98, 1179.",
Equisetum hyemale,C3,"Klimeová J. & Klime L. Clo-Pla3  database of clonal growth of plants from Central Europe. http://clopla.butbn.cas.cz/; Klimeová J. & de Bello F. 2009. CLO-PLA: the database of clonal and bud bank traits of Central European flora. Journal of Vegetation Science 20: 511-516; Klimeová J, Danihelka J, Chrtek J, de Bello F, Herben T. 2017. CLO-PLA: a database of clonal and bud bank traits of Central European flora. Ecology 98, 1179.",
Equisetum pratense,C3,"Klimeová J. & Klime L. Clo-Pla3  database of clonal growth of plants from Central Europe. http://clopla.butbn.cas.cz/; Klimeová J. & de Bello F. 2009. CLO-PLA: the database of clonal and bud bank traits of Central European flora. Journal of Vegetation Science 20: 511-516; Klimeová J, Danihelka J, Chrtek J, de Bello F, Herben T. 2017. CLO-PLA: a database of clonal and bud bank traits of Central European flora. Ecology 98, 1179.",
Matteuccia struthiopteris,C3,"Klimeová J. & Klime L. Clo-Pla3  database of clonal growth of plants from Central Europe. http://clopla.butbn.cas.cz/; Klimeová J. & de Bello F. 2009. CLO-PLA: the database of clonal and bud bank traits of Central European flora. Journal of Vegetation Science 20: 511-516; Klimeová J, Danihelka J, Chrtek J, de Bello F, Herben T. 2017. CLO-PLA: a database of clonal and bud bank traits of Central European flora. Ecology 98, 1179.",
